#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
1034,Johan Rojas,679032,679032,24336,11643,*04w4e*,PHI,OF,OF,Rojas,Johan,Rojas,Johan,Johan Rojas
1035,Walter Pennington,679156,679156,27624,12120,*06kyc*,BAL,RP,RP,Pennington,Walter,Pennington,Walter,Walter Pennington
1036,Eric Orze,679358,679358,27626,12121,*05mrv*,MIN,RP,RP,Orze,Eric,Orze,Eric,Eric Orze
1037,Alec Marsh,679525,679525,27451,11144,*0512c*,KC,SP,SP,Marsh,Alec,Marsh,Alec,Alec Marsh
1038,Spencer Torkelson,679529,679529,27465,10831,*04yk2*,DET,1B,1B,Torkelson,Spencer,Torkelson,Spencer,Spencer Torkelson
1039,Jose Rodriguez,679563,679563,24388,11659,*05gcy*,FA,SS,SS,Rodriguez,Jose,,,
1040,Kyle Backhus,679775,679775,29615,12407,*06kwi*,PHI,RP,RP,Backhus,Kyle,Backhus,Kyle,Kyle Backhus
1041,Justin Foscue,679822,679822,27501,11770,*05gsg*,TEX,2B,2B,Foscue,Justin,Foscue,Justin,Justin Foscue
1042,Nick Loftin,679845,679845,27630,11612,*05gx0*,KC,2B/3B/ OF,1B/2B/ 3B/OF,Loftin,Nick,Loftin,Nick,Nick Loftin
1043,J.P. Martinez,679881,679881,24451,10012,,FA,OF,OF,Martinez,J.P.,,,
1044,Justin Martinez,679885,679885,24453,11666,*05acp*,ARI,RP,RP,Martinez,Justin,Martinez,Justin,Justin Martinez
1045,Evan McKendry,679928,679928,sa3010787,12066,*0516m*,CHW,SP,SP,McKendry,Evan,McKendry,Evan,
1046,Dairon Blanco,680118,680118,19779,11474,*04mkt*,KC,OF,OF,Blanco,Dairon,Blanco,Dairon,Dairon Blanco
1047,Jackson Wolf,680232,680232,29832,11831,*05xpr*,SD,SP,SP,Wolf,Jackson,Wolf,Jackson,Jackson Wolf
1048,Max Schuemann,680474,680474,24488,11427,*04q24*,ATH,SS/3B,2B/SS/ 3B/OF,Schuemann,Max,Schuemann,Max,Max Schuemann
1049,Grayson Rodriguez,680570,680570,24492,10207,*04pko*,LAA,SP,SP,Rodriguez,Grayson,Rodriguez,Grayson,Grayson Rodriguez
1050,Simeon Woods Richardson,680573,680573,24494,10335,*04pmp*,MIN,SP,SP,Woods Richardson,Simeon,Woods Richardson,Simeon,Simeon Woods Richardson
1051,Matt McLain,680574,680574,29695,11613,*04pks*,CIN,2B/SS,2B/SS,McLain,Matt,McLain,Matt,Matt McLain
1052,DaShawn Keirsey Jr.,680577,680577,24496,10388,*04pq5*,FA,OF,OF,Keirsey Jr.,DaShawn,,,
1053,Julio Rodriguez,680588,680588,sa3007992,10881,,HOU,RP,RP,Rodriguez,Julio,Rodriguez,Julio,
1054,Gunnar Hoglund,680684,680684,31318,12269,*04pmd*,ATH,SP,SP,Hoglund,Gunnar,Hoglund,Gunnar,Gunnar Hoglund
1055,Josiah Gray,680686,680686,24580,10259,*04pn3*,WSH,SP,SP,Gray,Josiah,Gray,Josiah,Josiah Gray
1056,Lyon Richardson,680689,680689,24581,11143,*04pmo*,CIN,RP,RP,Richardson,Lyon,,,
1057,Grant Lavigne,680693,680693,sa3007743,10206,*04pmf*,FA,1B,1B,Lavigne,Grant,,,
1058,Kyle Bradish,680694,680694,24586,11099,*04pq4*,BAL,SP,SP,Bradish,Kyle,Bradish,Kyle,Kyle Bradish
1059,Richie Palacios,680700,680700,24589,10425,*04ppk*,TB,2B/OF,2B/OF,Palacios,Richie,Palacios,Richie,Richie Palacios
1060,Joey Gerber,680702,680702,24591,10827,*04pta*,NYM,RP,RP,Gerber,Joey,Gerber,Joey,Joey Gerber
1061,Nick Sandlin,680704,680704,20517,10930,*04pmm*,TOR,RP,RP,Sandlin,Nick,Sandlin,Nick,Nick Sandlin
1062,Cole Roederer,680711,680711,sa3008184,10386,*04pn0*,FA,OF,OF,Roederer,Cole,Roederer,Cole,
1063,Jonathan Ornelas,680716,680716,24597,10249,*04tjk*,NYY,SS,SS,Ornelas,Jonathan,Ornelas,Jonathan,Jonathan Ornelas
1064,Addison Barger,680718,680718,24598,11596,*04qii*,TOR,3B/OF,3B/OF,Barger,Addison,Barger,Addison,Addison Barger
1065,Drew Rom,680723,680723,24602,11706,*04pqd*,MIL,SP,SP,Rom,Drew,Rom,Drew,Drew Rom
1066,Adrian Del Castillo,680728,680728,29554,12144,*05jn0*,ARI,C,C,Del Castillo,Adrian,Del Castillo,Adrian,Adrian Del Castillo
1067,Garrett McDaniels,680729,680729,31751,12317,*06qyw*,LAD,RP,RP,McDaniels,Garrett,McDaniels,Garrett,Garrett McDaniels
1068,Mitchell Parker,680730,680730,27636,11970,*05jqy*,WSH,SP,SP,Parker,Mitchell,Parker,Mitchell,Mitchell Parker
1069,Sean Burke,680732,680732,29878,11755,*05xod*,CHW,SP,SP,Burke,Sean,Burke,Sean,Sean Burke
1070,Austin Cox,680735,680735,24604,10934,*04pra*,ATL,RP,RP,Cox,Austin,Cox,Austin,Austin Cox
1071,Justin Wrobleski,680736,680736,31204,12124,*05y9r*,LAD,RP,RP,Wrobleski,Justin,Wrobleski,Justin,Justin Wrobleski
1072,Michael Helman,680737,680737,24605,10608,*04pvp*,TEX,OF,OF,Helman,Michael,Helman,Michael,Michael Helman
1073,Jonathan Bowlan,680742,680742,24607,11388,*04pmg*,PHI,RP,RP,Bowlan,Jonathan,Bowlan,Jonathan,Jonathan Bowlan
1074,Ty Madden,680744,680744,30140,11918,*05oqe*,DET,RP,RP,Madden,Ty,Madden,Ty,Ty Madden
1075,Steven Kwan,680757,680757,24610,11315,*04pr1*,CLE,OF,OF,Kwan,Steven,Kwan,Steven,Steven Kwan
1076,Victor Vodnik,680767,680767,24614,11861,*04pxp*,COL,RP,RP,Vodnik,Victor,Vodnik,Victor,Victor Vodnik
1077,CJ Alexander,680769,680769,20557,10385,*04q23*,FA,3B,3B,Alexander,CJ,Alexander,CJ,CJ Alexander
1078,Jarren Duran,680776,680776,24617,10824,*04pst*,BOS,OF,OF,Duran,Jarren,Duran,Jarren,Jarren Duran
1079,Ryan Jeffers,680777,680777,24618,10946,*04pmu*,MIN,C,C,Jeffers,Ryan,Jeffers,Ryan,Ryan Jeffers
1080,Henry Davis,680779,680779,29617,11742,*05oxc*,PIT,C,C,Davis,Henry,Davis,Henry,Henry Davis
1081,Ryan Fitzgerald,680837,680837,24622,11436,,FA,SS,SS,Fitzgerald,Ryan,,,
1082,Willie MacIver,680862,680862,24641,11078,*04ptr*,TEX,C,C,MacIver,Willie,MacIver,Willie,Willie MacIver
1083,Zack Gelof,680869,680869,29766,11624,*05ub0*,ATH,2B,2B,Gelof,Zack,Gelof,Zack,Zack Gelof
1084,Grant Holman,680880,680880,30002,12158,*05xpw*,ATH,RP,RP,Holman,Grant,Holman,Grant,Grant Holman
1085,Spencer Schwellenbach,680885,680885,31846,12096,*05tq1*,ATL,SP,SP,Schwellenbach,Spencer,Schwellenbach,Spencer,Spencer Schwellenbach
1086,Jack Neely,680891,680891,30106,12160,*05y7r*,CHC,RP,RP,Neely,Jack,Neely,Jack,Jack Neely
1087,Nick Nastrini,680897,680897,29833,11900,*05wbp*,LAD,SP,SP,Nastrini,Nick,Nastrini,Nick,Nick Nastrini
1088,Owen Miller,680911,680911,24655,10423,*04ppl*,FA,2B,2B,Miller,Owen,Miller,Owen,Owen Miller
1089,Franco Aleman,680916,680916,sa3018178,12032,*05y5l*,CLE,RP,RP,Aleman,Franco,Aleman,Franco,
1090,Doug Nikhazy,680951,680951,30142,12276,*05taw*,CLE,RP,RP,Nikhazy,Doug,Nikhazy,Doug,Doug Nikhazy
1091,Brendan Donovan,680977,680977,24679,11357,*04pse*,STL,2B/OF,2B/SS/ 3B/OF,Donovan,Brendan,Donovan,Brendan,Brendan Donovan
1092,Kelvin Caceres,680983,680983,24681,11879,*06144*,LAA,RP,RP,Caceres,Kelvin,Caceres,Kelvin,Kelvin Cáceres
1093,Christian Scott,681035,681035,30107,11912,*05xpq*,NYM,SP,SP,Scott,Christian,Scott,Christian,Christian Scott
1094,Ky Bush,681066,681066,29823,12143,*05tpz*,CHW,SP,SP,Bush,Ky,Bush,Ky,Ky Bush
1095,Bryson Stott,681082,681082,26294,11086,*04p10*,PHI,2B/SS,2B/SS,Stott,Bryson,Stott,Bryson,Bryson Stott
1096,Jonah Bride,681146,681146,24703,11339,*04q5b*,TEX,1B/3B,1B/3B,Bride,Jonah,Bride,Jonah,Jonah Bride
1097,Jayden Murray,681151,681151,26482,11758,*051i0*,HOU,RP,RP,Murray,Jayden,Murray,Jayden,Jayden Murray
1098,Luis Curvelo,681168,681168,24710,12252,*05ymh*,TEX,RP,RP,Curvelo,Luis,Curvelo,Luis,Luis Curvelo
1099,Randy Vasquez,681190,681190,24719,11677,*05itb*,SD,SP,SP,Vasquez,Randy,Vásquez,Randy,Randy Vásquez
1100,Chase Silseth,681217,681217,30074,11468,*05xsm*,LAA,RP,RP,Silseth,Chase,Silseth,Chase,Chase Silseth
1101,Spencer Arrighetti,681293,681293,29921,12020,*05y0j*,HOU,SP,SP,Arrighetti,Spencer,Arrighetti,Spencer,Spencer Arrighetti
1102,Colton Cowser,681297,681297,29591,11609,*05ras*,BAL,OF,OF,Cowser,Colton,Cowser,Colton,Colton Cowser
1103,Shane Smith,681343,681343,31687,12305,*06dqb*,CHW,SP,SP,Smith,Shane,Smith,Shane,Shane Smith
1104,Mike Burrows,681347,681347,24728,11619,*04pvl*,HOU,SP,SP,Burrows,Mike,Burrows,Mike,Mike Burrows
1105,Logan O’Hoppe,681351,681351,24729,11075,*04q56*,LAA,C,C,O’Hoppe,Logan,O’Hoppe,Logan,Logan O’Hoppe
1106,Connor Norby,681393,681393,29592,11603,*05tce*,MIA,3B,2B/3B,Norby,Connor,Norby,Connor,Connor Norby
1107,Gus Varland,681402,681402,24737,11731,*04pxq*,ARI,RP,RP,Varland,Gus,Varland,Gus,Gus Varland
1108,Luke Little,681432,681432,28036,11858,*05koh*,CHC,RP,RP,Little,Luke,Little,Luke,Luke Little
1109,Brooks Baldwin,681460,681460,31394,12128,*062z3*,CHW,2B/SS/ 3B/OF,2B/SS/ 3B/OF,Baldwin,Brooks,Baldwin,Brooks,Brooks Baldwin
1110,Kerry Carpenter,681481,681481,25961,11530,*051em*,DET,OF,OF,Carpenter,Kerry,Carpenter,Kerry,Kerry Carpenter
1111,Mickey Gasper,681508,681508,24759,12149,*06am0*,MIN,2B,2B,Gasper,Mickey,Gasper,Mickey,Mickey Gasper
1112,Kyle Leahy,681517,681517,24763,11822,*04q08*,STL,RP,RP,Leahy,Kyle,Leahy,Kyle,Kyle Leahy
1113,Antoine Kelly,681520,681520,sa3011135,10991,*04px1*,LAD,RP,RP,Kelly,Antoine,Kelly,Antoine,
1114,Bryan Lavastida,681526,681526,24765,11329,*04pyv*,FA,C,C,Lavastida,Bryan,Lavastida,Bryan,Bryan Lavastida
1115,James Outman,681546,681546,24770,11399,*04psu*,MIN,OF,OF,Outman,James,Outman,James,James Outman
1116,David Villar,681584,681584,24782,11510,*04pvh*,FA,3B,3B,Villar,David,Villar,David,David Villar
1117,Andy Pages,681624,681624,24816,11682,*04ru5*,LAD,OF,OF,Pages,Andy,Pages,Andy,Andy Pages
1118,Ryan Fernandez,681676,681676,24862,12004,*04q5s*,STL,RP,RP,Fernandez,Ryan,Fernandez,Ryan,Ryan Fernandez
1119,Heriberto Hernandez,681715,681715,24878,12403,*04up9*,MIA,OF,OF,Hernandez,Heriberto,Hernández,Heriberto,Heriberto Hernández
1120,Ethan Roberts,681799,681799,24930,11361,*04pql*,CHC,RP,RP,Roberts,Ethan,Roberts,Ethan,Ethan Roberts
1121,Andrew Wantz,681806,681806,24933,11233,*04psq*,TB,RP,RP,Wantz,Andrew,Wantz,Andrew,Andrew Wantz
1122,David Fry,681807,681807,24934,11789,*04psr*,CLE,C/1B/ OF,C/1B/ OF,Fry,David,Fry,David,David Fry
1123,Austin Warren,681810,681810,24937,11246,*04prz*,NYM,RP,RP,Warren,Austin,Warren,Austin,Austin Warren
1124,Reese Olson,681857,681857,24968,11594,*04px8*,DET,SP,SP,Olson,Reese,Olson,Reese,Reese Olson
1125,Cooper Criswell,681867,681867,24975,11270,*04px6*,NYM,RP,RP,Criswell,Cooper,Criswell,Cooper,Cooper Criswell
1126,Shawn Dubin,681869,681869,24977,11002,*04pxb*,BAL,RP,RP,Dubin,Shawn,Dubin,Shawn,Shawn Dubin
1127,Erik Sabrowski,681870,681870,24978,12167,*04pxo*,CLE,RP,RP,Sabrowski,Erik,Sabrowski,Erik,Erik Sabrowski
1128,Colin Selby,681882,681882,24986,11669,*04q7i*,BAL,RP,RP,Selby,Colin,Selby,Colin,Colin Selby
1129,Kody Funderburk,681892,681892,24993,11850,*04pyp*,MIN,RP,RP,Funderburk,Kody,Funderburk,Kody,Kody Funderburk
1130,Alex Vesia,681911,681911,25007,10784,*04q05*,LAD,RP,RP,Vesia,Alex,Vesia,Alex,Alex Vesia
1131,Vinny Capra,681962,681962,25040,11460,*04q26*,BOS,3B,3B,Capra,Vinny,Capra,Vinny,Vinny Capra
1132,Grant Anderson,681982,681982,20546,11799,*04q3y*,MIL,RP,RP,Anderson,Grant,Anderson,Grant,Grant Anderson
1133,Nate Eaton,681987,681987,25055,11515,,BOS,3B/OF,3B/OF,Eaton,Nate,Eaton,Nate,Nate Eaton
1134,Jacob Lopez,682052,682052,25098,11841,*051ui*,ATH,SP,SP,Lopez,Jacob,Lopez,Jacob,Jacob Lopez
1135,David Hensley,682073,682073,25111,11542,*04vnd*,DET,3B,3B,Hensley,David,Hensley,David,David Hensley
1136,Levi Jordan,682119,682119,25138,12114,,FA,2B,2B,Jordan,Levi,,,
1137,Tim Herrin,682120,682120,25139,11676,*061jc*,CLE,RP,RP,Herrin,Tim,Herrin,Tim,Tim Herrin
1138,Evan Reifert,682126,682126,sa3014860,11630,*05y0r*,TB,RP,RP,Reifert,Evan,Reifert,Evan,
1139,Joe Jacques,682175,682175,25178,11806,*06c33*,NYM,RP,RP,Jacques,Joe,Jacques,Joe,Joe Jacques
1140,Daniel Schneemann,682177,682177,25180,12098,*06bs4*,CLE,2B/SS/ 3B/OF,2B/SS/ 3B/OF,Schneemann,Daniel,Schneemann,Daniel,Daniel Schneemann
1141,Drew Avans,682183,682183,25183,12366,*04ycp*,COL,OF,OF,Avans,Drew,Avans,Drew,Drew Avans
1142,Kody Hoese,682210,682210,sa3010021,11050,*04zjm*,FA,3B,3B,Hoese,Kody,Hoese,Kody,
1143,Brandon Williamson,682227,682227,25463,10877,*05120*,CIN,SP,SP,Williamson,Brandon,Williamson,Brandon,Brandon Williamson
1144,Bryce Miller,682243,682243,29837,11636,*05vy6*,SEA,SP,SP,Miller,Bryce,Miller,Bryce,Bryce Miller
1145,Mason Montgomery,682254,682254,29770,11621,*05y2k*,PIT,RP,RP,Montgomery,Mason,Montgomery,Mason,Mason Montgomery
1146,Wes Clarke,682265,682265,sa3017045,12071,*05rfv*,HOU,1B,1B,Clarke,Wes,Clarke,Wes,
1147,Logan Porter,682515,682515,20626,11865,*05j94*,SF,C,C,Porter,Logan,Porter,Logan,Logan Porter
1148,Roddery Munoz,682610,682610,25311,11646,*05ss9*,HOU,RP,RP,Munoz,Roddery,Muñoz,Roddery,Roddery Muñoz
1149,Diego Cartaya,682616,682616,sa3008742,10389,*04p0h*,SF,C,C,Cartaya,Diego,Cartaya,Diego,
1150,Marco Luciano,682617,682617,25616,10415,*04ooy*,FA,SS,SS,Luciano,Marco,,,
1151,Orelvis Martinez,682619,682619,25967,10420,*04mms*,WSH,2B,2B,Martinez,Orelvis,Martinez,Orelvis,Orelvis Martinez
1152,Richard Gallardo,682620,682620,sa3009990,10424,*04qnb*,TOR,SP,SP,Gallardo,Richard,Gallardo,Richard,
1153,Noelvi Marte,682622,682622,26517,10419,*04qnd*,CIN,3B/OF,3B/OF,Marte,Noelvi,Marte,Noelvi,Noelvi Marte
1154,Francisco Alvarez,682626,682626,26121,11118,*04qnc*,NYM,C,C,Alvarez,Francisco,Alvarez,Francisco,Francisco Alvarez
1155,Alvin Guzman,682630,682630,,10376,*04rhh*,ARI,OF,OF,Guzman,Alvin,Guzman,Alvin,
1156,Kevin Alcantara,682634,682634,25971,10406,*04qow*,CHC,OF,OF,Alcantara,Kevin,Alcántara,Kevin,Kevin Alcántara
1157,Luis Matos,682641,682641,26467,11678,*04y11*,SF,OF,OF,Matos,Luis,Matos,Luis,Luis Matos
1158,Jairo Pomares,682646,682646,sa3010023,10399,*04ru8*,FA,OF,OF,Pomares,Jairo,,,
1159,Malcom Nunez,682650,682650,sa3008113,10413,*04rzr*,PIT,3B,3B,Nunez,Malcom,Nuñez,Malcom,
1160,Warming Bernabel,682653,682653,26536,11651,*04ybm*,WSH,1B,1B/3B,Bernabel,Warming,Bernabel,Warming,Warming Bernabel
1161,Angel Martinez,682657,682657,26540,11675,*04ydd*,CLE,2B/OF,2B/OF,Martinez,Angel,Martínez,Angel,Angel Martínez
1162,Agustin Ramirez,682663,682663,26546,11985,*04z6m*,MIA,C,C/1B,Ramirez,Agustin,Ramírez,Agustín,Agustín Ramírez
1163,Luisangel Acuna,682668,682668,26548,11614,*04z6k*,NYM,2B/SS,2B/SS,Acuna,Luisangel,Acuña,Luisangel,Luisangel Acuña
1164,Jonatan Clase,682729,682729,26599,11656,*057zc*,TOR,OF,OF,Clase,Jonatan,Clase,Jonatan,Jonatan Clase
1165,Eiberson Castellano,682769,682769,sa3015414,12253,*06l49*,PHI,SP,SP,Castellano,Eiberson,Castellano,Eiberson,Eiberson Castellano
1166,Wikelman Gonzalez,682790,682790,26641,11953,*052ht*,CHW,RP,RP,Gonzalez,Wikelman,González,Wikelman,Wikelman González
1167,Luis Mey,682825,682825,25620,12286,*05rks*,CIN,RP,RP,Mey,Luis,Mey,Luis,Luis Mey
1168,Elly De La Cruz,682829,682829,26668,11583,*05udp*,CIN,SS,SS,De La Cruz,Elly,De La Cruz,Elly,Elly De La Cruz
1169,Abner Uribe,682842,682842,25327,11664,*05nso*,MIL,RP,RP,Uribe,Abner,Uribe,Abner,Abner Uribe
1170,Luis L. Ortiz,682847,682847,27646,11572,*05xsq*,CLE,SP,SP,Ortiz,Luis L.,Ortiz,Luis L.,Luis L. Ortiz
1171,Endy Rodriguez,682848,682848,25332,11584,*0529l*,PIT,C/1B,C/1B,Rodriguez,Endy,Rodríguez,Endy,Endy Rodríguez
1172,Bryan Ramos,682868,682868,25621,11658,*059bs*,CHW,2B,2B,Ramos,Bryan,Ramos,Bryan,Bryan Ramos
1173,Juan Brito,682877,682877,sa3009808,11773,*05yhe*,CLE,2B,2B/SS/ 3B/OF,Brito,Juan,Brito,Juan,
1174,Ronny Simon,682927,682927,25346,12022,*05t25*,PIT,2B/OF,2B/OF,Simon,Ronny,Simon,Ronny,Ronny Simon
1175,CJ Abrams,682928,682928,25768,11045,*04qk8*,WSH,SS,SS,Abrams,CJ,Abrams,CJ,CJ Abrams
1176,Daniel Espino,682982,682982,,10926,*04ya2*,CLE,SP,SP,Espino,Daniel,Espino,Daniel,
1177,Riley Greene,682985,682985,25976,10822,*04nb2*,DET,OF,OF,Greene,Riley,Greene,Riley,Riley Greene
1178,Spencer Jones,682987,682987,sa3019969,12047,*04yi8*,NYY,OF,OF,Jones,Spencer,Jones,Spencer,
1179,Tyler Locklear,682988,682988,31396,12049,*05xu8*,ARI,1B,1B,Locklear,Tyler,Locklear,Tyler,Tyler Locklear
1180,Victor Mederos,682989,682989,31533,11819,*05jrb*,LAA,SP,SP,Mederos,Victor,Mederos,Victor,Victor Mederos
1181,Quinn Priester,682990,682990,25977,11131,*050vn*,MIL,SP,SP,Priester,Quinn,Priester,Quinn,Quinn Priester
1182,Tyler Callihan,682997,682997,27497,11142,*04y9i*,CIN,2B,2B,Callihan,Tyler,Callihan,Tyler,Tyler Callihan
1183,Corbin Carroll,682998,682998,25878,11025,*04y4e*,ARI,OF,OF,Carroll,Corbin,Carroll,Corbin,Corbin Carroll
1184,Gunnar Henderson,683002,683002,26289,11108,*050w9*,BAL,SS,SS,Henderson,Gunnar,Henderson,Gunnar,Gunnar Henderson
1185,Jared Jones,683003,683003,27863,11893,*05h2u*,PIT,SP,SP,Jones,Jared,Jones,Jared,Jared Jones
1186,Jack Leiter,683004,683004,30146,11327,*04y9o*,TEX,SP,SP,Leiter,Jack,Leiter,Jack,Jack Leiter
1187,Anthony Volpe,683011,683011,27647,11325,*04y9p*,NYY,SS,SS,Volpe,Anthony,Volpe,Anthony,Anthony Volpe
1188,Michael Stefanic,683021,683021,25353,11419,*05t5r*,TOR,2B,2B,Stefanic,Michael,Stefanic,Michael,Michael Stefanic
1189,Alexander Vargas,683061,683061,sa3008851,10375,*04tm2*,CIN,SS,SS,Vargas,Alexander,Vargas,Alexander,
1190,Nasim Nunez,683083,683083,25979,12010,*04ya4*,WSH,2B/SS,2B/SS,Nunez,Nasim,Nuñez,Nasim,Nasim Nuñez
1191,Matthew Lugo,683090,683090,25980,12270,*04yic*,LAA,OF,OF,Lugo,Matthew,Lugo,Matthew,Matthew Lugo
1192,Brett Baty,683146,683146,26123,11123,*04yib*,NYM,2B/3B,2B/3B,Baty,Brett,Baty,Brett,Brett Baty
1193,Joey Estes,683155,683155,26257,11871,*051cl*,ATH,SP,SP,Estes,Joey,Estes,Joey,Joey Estes
1194,Connor Phillips,683175,683175,27649,11855,*05jpe*,CIN,RP,RP,Phillips,Connor,Phillips,Connor,Connor Phillips
1195,Cody Freeman,683227,683227,25629,12428,*0513g*,TEX,2B,2B,Freeman,Cody,Freeman,Cody,Cody Freeman
1196,Nick Mears,683232,683232,25376,10910,*05a06*,KC,RP,RP,Mears,Nick,Mears,Nick,Nick Mears
1197,Owen Caissie,683357,683357,27496,12050,*05jsg*,CHC,OF,OF,Caissie,Owen,Caissie,Owen,Owen Caissie
1198,Angel Chivilli,683409,683409,26790,11974,*05j8o*,COL,RP,RP,Chivilli,Angel,Chivilli,Angel,Angel Chivilli
1199,Oscar Hernandez,683427,683427,sa3010155,8978,,KC,C,C,Hernandez,Oscar,Hernandez,Oscar,
1200,Jairo Iriarte,683568,683568,26907,11913,*060q2*,CHW,RP,RP,Iriarte,Jairo,Iriarte,Jairo,Jairo Iriarte
1201,Edgardo Henriquez,683618,683618,26944,12186,*05w7z*,LAD,RP,RP,Henriquez,Edgardo,Henriquez,Edgardo,Edgardo Henriquez
1202,Anthony Molina,683627,683627,26952,12003,*06879*,ATL,SP,SP,Molina,Anthony,Molina,Anthony,Anthony Molina
1203,Andrew Vaughn,683734,683734,26197,10788,*04si2*,MIL,1B,1B,Vaughn,Andrew,Vaughn,Andrew,Andrew Vaughn
1204,Michael Busch,683737,683737,26319,11048,*04t9b*,CHC,1B,1B,Busch,Michael,Busch,Michael,Michael Busch
1205,Victor Mesa Jr.,683748,683748,25999,10840,*04y79*,MIA,OF,OF,Mesa Jr.,Victor,Mesa Jr.,Victor,Victor Mesa Jr.
1206,Matt Canterino,683764,683764,,11134,*0511v*,MIN,SP,SP,Canterino,Matt,Canterino,Matt,Matt Canterino
1207,Christian Koss,683766,683766,27653,12370,*04ydt*,SF,2B/SS/ 3B,2B/SS/ 3B,Koss,Christian,Koss,Christian,Christian Koss
1208,Hunter Gaddis,683769,683769,25636,11528,*05143*,CLE,RP,RP,Gaddis,Hunter,Gaddis,Hunter,Hunter Gaddis
1209,Will Robertson,683770,683770,25467,12409,*04y9g*,FA,OF,OF,Robertson,Will,,,
1210,Travis Bazzana,683953,683953,sa3025129,12216,*05zde*,CLE,2B,2B,Bazzana,Travis,Bazzana,Travis,
1211,Shota Imanaga,684007,684007,33829,11884,*05ge9*,CHC,SP,SP,Imanaga,Shota,Imanaga,Shota,Shota Imanaga
1212,Yariel Rodriguez,684320,684320,33838,11916,*06at1*,TOR,RP,RP,Rodriguez,Yariel,Rodríguez,Yariel,Yariel Rodríguez
1213,Craig Yoho,684974,684974,33248,12225,*06fzq*,MIL,RP,RP,Yoho,Craig,Yoho,Craig,Craig Yoho
1214,Anthony Veneziano,685107,685107,27453,11870,*0517a*,TEX,RP,RP,Veneziano,Anthony,Veneziano,Anthony,Anthony Veneziano
1215,Austin Kitchen,685116,685116,27910,12112,,SEA,SP,SP,Kitchen,Austin,Kitchen,Austin,Austin Kitchen
1216,Brandon Eisert,685126,685126,27668,12108,*051dw*,CHW,RP,RP,Eisert,Brandon,Eisert,Brandon,Brandon Eisert
1217,Wade Meckler,685133,685133,31490,11842,*066cn*,FA,OF,OF,Meckler,Wade,,,
1218,Tanner Gordon,685299,685299,27669,12123,*05152*,COL,SP,SP,Gordon,Tanner,Gordon,Tanner,Tanner Gordon
1219,Matt Gorski,685301,685301,25855,12357,*0511z*,LAD,OF,OF,Gorski,Matt,Gorski,Matt,Matt Gorski
1220,Andrew Saalfrank,685314,685314,26203,11856,*0514i*,ARI,RP,RP,Saalfrank,Andrew,Saalfrank,Andrew,Andrew Saalfrank
1221,McCade Brown,685326,685326,30004,12447,*05rg5*,COL,SP,SP,Brown,McCade,Brown,McCade,McCade Brown
1222,Misael Tamarez,685377,685377,sa3009632,12052,*05rkf*,HOU,SP,SP,Tamarez,Misael,Tamarez,Misael,
1223,Kenedy Corona,685744,685744,26244,11995,*05aid*,HOU,OF,OF,Corona,Kenedy,Corona,Kenedy,Kenedy Corona
1224,Hunter Bigge,685801,685801,26259,12122,*0519h*,TB,RP,RP,Bigge,Hunter,Bigge,Hunter,Hunter Bigge
1225,Sal Frelick,686217,686217,29622,11581,*05rb1*,MIL,OF,OF,Frelick,Sal,Frelick,Sal,Sal Frelick
1226,Emmet Sheehan,686218,686218,29839,11811,*05y2l*,LAD,SP,SP,Sheehan,Emmet,Sheehan,Emmet,Emmet Sheehan
1227,Drew Millas,686452,686452,25643,11849,*0515f*,WSH,C,C,Millas,Drew,Millas,Drew,Drew Millas
1228,Vinnie Pasquantino,686469,686469,27676,11415,*05184*,KC,1B,1B,Pasquantino,Vinnie,Pasquantino,Vinnie,Vinnie Pasquantino
1229,Tyler Tolbert,686475,686475,25779,12374,*0519u*,KC,SS/OF,SS/OF,Tolbert,Tyler,Tolbert,Tyler,Tyler Tolbert
1230,Logan Driscoll,686482,686482,25475,12172,*0512b*,TB,C,C,Driscoll,Logan,Driscoll,Logan,Logan Driscoll
1231,Cam Eden,686490,686490,25476,11872,,FA,OF,OF,Eden,Cam,Eden,Cam,Cam Eden
1232,Dominic Canzone,686527,686527,26438,11778,*05161*,SEA,OF,OF,Canzone,Dominic,Canzone,Dominic,Dominic Canzone
1233,Andre Lipcius,686531,686531,25822,11673,*0512j*,FA,2B,2B,Lipcius,Andre,Lipcius,Andre,Andre Lipcius
1234,Declan Cronin,686539,686539,25645,11834,*06ejy*,TEX,RP,RP,Cronin,Declan,Cronin,Declan,Declan Cronin
1235,Oliver Dunn,686554,686554,26295,12036,*0518b*,CHW,3B,3B,Dunn,Oliver,Dunn,Oliver,Oliver Dunn
1236,Isaac Collins,686555,686555,25477,12179,*0516n*,KC,OF,OF,Collins,Isaac,Collins,Isaac,Isaac Collins
1237,Jonathan Cannon,686563,686563,31730,12078,*05rb2*,CHW,SP,SP,Cannon,Jonathan,Cannon,Jonathan,Jonathan Cannon
1238,Justin Slaten,686580,686580,25648,12008,*0512q*,BOS,RP,RP,Slaten,Justin,Slaten,Justin,Justin Slaten
1239,Ken Waldichuk,686610,686610,27681,11422,*0513y*,FA,SP,SP,Waldichuk,Ken,,,
1240,Dylan Crews,686611,686611,33541,11922,*0596e*,WSH,OF,OF,Crews,Dylan,Crews,Dylan,Dylan Crews
