#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
702,Brandon Marsh,669016,669016,20202,10146,*041q8*,PHI,OF,OF,Marsh,Brandon,Marsh,Brandon,Brandon Marsh
703,MacKenzie Gore,669022,669022,22201,9973,*04cd5*,WSH,SP,SP,Gore,MacKenzie,Gore,MacKenzie,MacKenzie Gore
704,Erik Miller,669062,669062,26252,11987,*04y8z*,SF,RP,RP,Miller,Erik,Miller,Erik,Erik Miller
705,Kyle Stowers,669065,669065,26151,11414,*04y97*,MIA,OF,OF,Stowers,Kyle,Stowers,Kyle,Kyle Stowers
706,DL Hall,669084,669084,22207,10187,*04aeh*,MIL,RP,RP,Hall,DL,Hall,DL,DL Hall
707,Sam Huff,669087,669087,22209,10826,*041tq*,FA,C,C,Huff,Sam,Huff,Sam,Sam Huff
708,Jeremiah Estrada,669093,669093,22210,11553,*04ehz*,SD,RP,RP,Estrada,Jeremiah,Estrada,Jeremiah,Jeremiah Estrada
709,John McMillon,669111,669111,27942,11843,*0423z*,PHI,RP,RP,McMillon,John,McMillon,John,John McMillon
710,Shea Langeliers,669127,669127,25816,10845,*04o4s*,ATH,C,C,Langeliers,Shea,Langeliers,Shea,Shea Langeliers
711,Luis Campusano,669134,669134,22217,11043,*04eep*,SD,C,C,Campusano,Luis,Campusano,Luis,Luis Campusano
712,Armando Alvarez,669137,669137,19292,12064,,MIN,3B,3B,Alvarez,Armando,Alvarez,Armando,Armando Alvarez
713,Dustin May,669160,669160,19716,10189,*041r5*,STL,SP,SP,May,Dustin,May,Dustin,Dustin May
714,Kyle Hurt,669165,669165,27514,11867,*05jq7*,LAD,RP,RP,Hurt,Kyle,Hurt,Kyle,Kyle Hurt
715,Jonathan Heasley,669169,669169,22224,11288,,KC,RP,RP,Heasley,Jonathan,Heasley,Jonathan,Jonathan Heasley
716,Ryne Nelson,669194,669194,26253,11326,*04yid*,ARI,SP,SP,Nelson,Ryne,Nelson,Ryne,Ryne Nelson
717,Lake Bachar,669199,669199,19222,12140,*041s4*,MIA,RP,RP,Bachar,Lake,Bachar,Lake,Lake Bachar
718,Mason McCoy,669200,669200,22232,11851,*04ehx*,SD,SS,SS,McCoy,Mason,McCoy,Mason,Mason McCoy
719,Corbin Burnes,669203,669203,19361,9800,*041rd*,ARI,SP,SP,Burnes,Corbin,Burnes,Corbin,Corbin Burnes
720,Ryan Bliss,669208,669208,29547,11941,*05tc7*,SEA,2B,2B,Bliss,Ryan,Bliss,Ryan,Ryan Bliss
721,Keegan Akin,669211,669211,19362,10524,*041py*,BAL,RP,RP,Akin,Keegan,Akin,Keegan,Keegan Akin
722,Je’Von Ward,669219,669219,sa3004969,10232,*04em1*,TOR,OF,OF,Ward,Je’Von,Ward,Je’Von,
723,Sean Murphy,669221,669221,19352,10327,*03aoy*,ATL,C,C,Murphy,Sean,Murphy,Sean,Sean Murphy
724,Nick Senzel,669222,669222,19293,9776,*03zc9*,LAD,OF,OF,Senzel,Nick,Senzel,Nick,Nick Senzel
725,Austin Wells,669224,669224,27562,11599,*05ahg*,NYY,C,C,Wells,Austin,Wells,Austin,Austin Wells
726,Justyn-Henry Malloy,669234,669234,29606,11617,*05uy1*,FA,OF,OF,Malloy,Justyn-Henry,,,
727,Jeremiah Jackson,669236,669236,22239,10234,*04pmt*,BAL,3B/OF,3B/OF,Jackson,Jeremiah,Jackson,Jeremiah,Jeremiah Jackson
728,Tommy Edman,669242,669242,19470,10569,*041sq*,LAD,2B/3B/ OF,2B/SS/ 3B/OF,Edman,Tommy,Edman,Tommy,Tommy Edman
729,Nick Solak,669256,669256,19294,9967,*041q1*,FA,OF,OF,Solak,Nick,Solak,Nick,Nick Solak
730,Will Smith,669257,669257,19197,10363,*042sz*,LAD,C,C,Smith,Will,Smith,Will,Will Smith
731,Jack Suwinski,669261,669261,22244,11377,*041z2*,PIT,OF,OF,Suwinski,Jack,Suwinski,Jack,Jack Suwinski
732,Joel Kuhnel,669270,669270,19995,10675,*041wc*,NYY,RP,RP,Kuhnel,Joel,Kuhnel,Joel,Joel Kuhnel
733,Dylan Lee,669276,669276,19996,10842,*041vm*,ATL,RP,RP,Lee,Dylan,Lee,Dylan,Dylan Lee
734,Daniel Johnson,669288,669288,19643,10175,*041sd*,FA,OF,OF,Johnson,Daniel,,,
735,Santiago Espinal,669289,669289,19997,10781,*041vp*,CIN,2B/3B/ OF,2B/3B/ OF,Espinal,Santiago,Espinal,Santiago,Santiago Espinal
736,Logan Gilbert,669302,669302,22250,10712,*04n0m*,SEA,SP,SP,Gilbert,Logan,Gilbert,Logan,Logan Gilbert
737,Jose Miranda,669304,669304,20538,10253,*041qh*,SD,3B,1B/3B,Miranda,Jose,Miranda,Jose,Jose Miranda
738,Bryce Teodosio,669326,669326,29524,12178,*0617q*,LAA,OF,OF,Teodosio,Bryce,Teodosio,Bryce,Bryce Teodosio
739,Tyler Wells,669330,669330,20000,11193,*0473n*,BAL,SP,SP,Wells,Tyler,Wells,Tyler,Tyler Wells
740,Bubba Thompson,669352,669352,22261,10154,*04eeb*,FA,OF,OF,Thompson,Bubba,,,
741,Nolan Gorman,669357,669357,22263,10303,*04ai4*,STL,2B/3B,2B/3B,Gorman,Nolan,Gorman,Nolan,Nolan Gorman
742,Shane Baz,669358,669358,22264,10331,*04cwf*,BAL,SP,SP,Baz,Shane,Baz,Shane,Shane Baz
743,Xavier Edwards,669364,669364,22266,10365,*04n8z*,MIA,2B/SS,2B/SS,Edwards,Xavier,Edwards,Xavier,Xavier Edwards
