Name,MLBID,FGID,FGSlug
angel ramirez,807587,,angel-ramirez
angel requena,821020,,angel-requena
angel rivero,821022,,angel-rivero
angel rodriguez,821623,,angel-rodriguez
angel rodriguez,821623,,angel-rodriguez
angel salio,825620,,angel-salio
angel soriano,821007,,angel-soriano
angel zerpa,672582,22717,angel-zerpa
anibal salas,807010,,anibal-salas
anielson buten,808004,,anielson-buten
anson aroz,695484,,anson-aroz
anthony abreu,829740,,anthony-abreu
anthony alford,546990,14329,anthony-alford
anthony astudillo,828713,,anthony-astudillo
anthony banda,607455,14706,anthony-banda
anthony bender,669622,19742,anthony-bender
anthony depino,834962,,anthony-depino
anthony desclafani,543101,13050,anthony-desclafani
anthony donofrio,823703,,anthony-donofrio
anthony eyanson,809254,MISSING,anthony-eyanson
anthony flores,800260,,anthony-flores
anthony frobose,834597,,anthony-frobose
anthony gose,543238,5097,anthony-gose
anthony gutierrez,703152,,anthony-gutierrez
anthony hoopii-tuionetoa,681896,,anthony-hoopii-tuionetoa
anthony huezo,805953,sa3022691,anthony-huezo
anthony karoly,804397,,anthony-karoly
anthony kay,641743,20387,anthony-kay
anthony longo,823856,,anthony-longo
anthony maldonado,687424,,anthony-maldonado
anthony marquez,821645,,anthony-marquez
anthony martinez,814452,,anthony-martinez
anthony millan,829860,,anthony-millan
anthony misiewicz,664948,18152,anthony-misiewicz
anthony molina,683627,26952,anthony-molina
anthony nunez,689296,,anthony-nunez
anthony rendon,543685,12861,anthony-rendon
anthony santa cruz de oviedo,829888,,anthony-santa-cruz-de-oviedo
anthony santander,623993,14551,anthony-santander
anthony scull,703430,,anthony-scull
anthony seigler,678011,23802,anthony-seigler
anthony silva,702500,,anthony-silva
anthony solometo,696143,sa3018259,anthony-solometo
anthony stephan,803174,,anthony-stephan
anthony susac,695618,,anthony-susac
anthony tandron,809779,,anthony-tandron
anthony veneziano,685107,27453,anthony-veneziano
anthony vilar,681036,,anthony-vilar
anthony volpe,683011,27647,anthony-volpe
anthuan valencia,703188,,anthuan-valencia
anthwan brea,821693,,anthwan-brea
antoine jean,683328,,antoine-jean
antoine kelly,681520,,antoine-kelly
antoni urena,829482,,antoni-urena
antonio anderson,702995,,antonio-anderson
antonio delgado,831044,,antonio-delgado
antonio jimenez,806128,,antonio-jimenez
antonio jimenez,806128,sa3034692,antonio-jimenez
antonio knowles,682087,,antonio-knowles
antonio menendez,694674,,antonio-menendez
antonio pimentel,808240,,antonio-pimentel
antonio santos,665733,20383,antonio-santos
antonio senzatela,622608,15488,antonio-senzatela
antonis macias,805950,,antonis-macias
antwone kelly,699008,sa3015489,antwone-kelly
anyel manzueta,821003,,anyel-manzueta
anyelo encarnacion,699031,,anyelo-encarnacion
anyelo marquez,808113,,anyelo-marquez
aramis garcia,605244,16925,aramis-garcia
archer brookman,666386,,archer-brookman
argenis cayama,821783,sa3025006,argenis-cayama
argenis valdez,821703,,argenis-valdez
aric mcatee,813878,,aric-mcatee
ariel almonte,694200,,ariel-almonte
ariel armas,813666,,ariel-armas
ariel lebron,808360,,ariel-lebron
ariel yean,821669,,ariel-yean
arjun nimmala,805796,sa3022892,arjun-nimmala
armando alvarez,669137,19292,armando-alvarez
armando lao,821603,,armando-lao
arnaldo lantigua,806984,,arnaldo-lantigua
arol vera,691186,,arol-vera
aroldis chapman,547973,10233,aroldis-chapman
aron estrada,800406,sa3018552,aron-estrada
aroon escobar,800169,sa3018463,aroon-escobar
art warren,605521,18251,art-warren
arturo disla,815697,,arturo-disla
arxy hernandez,694065,,arxy-hernandez
asa lacy,669370,sa3014423,asa-lacy
asbel gonzalez,808706,sa3021639,asbel-gonzalez
ashly andujar,815903,,ashly-andujar
ashton izzi,802416,,ashton-izzi
athanael duarte,805744,,athanael-duarte
aubrey smith,703502,,aubrey-smith
augie mojica,821318,,augie-mojica
austin adams,613534,13801,austin-adams
austin allen,664119,18083,austin-allen
austin amaral,694544,,austin-amaral
austin barnes,605131,12158,austin-barnes
austin bergner,666123,,austin-bergner
austin breedlove,824445,,austin-breedlove
austin cates,827110,,austin-cates
austin charles,800051,sa3020497,austin-charles
austin cox,680735,24604,austin-cox
austin davis,656354,17117,austin-davis
austin ehrlicher,805972,,austin-ehrlicher
austin emener,815305,,austin-emener
austin gauthier,702789,,austin-gauthier
austin gomber,596295,16561,austin-gomber
austin gordon,803135,,austin-gordon
austin green,809719,,austin-green
austin hays,669720,19363,austin-hays
austin hedges,595978,12976,austin-hedges
austin hendrick,690988,,austin-hendrick
austin kitchen,685116,,austin-kitchen
austin love,676153,,austin-love
austin marozas,676540,,austin-marozas
austin martin,668885,27462,austin-martin
austin murr,689456,,austin-murr
austin newton,813282,,austin-newton
austin overn,702556,sa3025408,austin-overn
austin peterson,,sa3020868,austin-peterson
austin pope,687166,,austin-pope
austin pruitt,643493,15290,austin-pruitt
austin riley,663586,18360,austin-riley
austin roberts,686762,,austin-roberts
austin shenton,668853,25425,austin-shenton
austin slater,596103,16153,austin-slater
austin smith,801563,,austin-smith
austin smith,694518,,austin-smith
austin st. laurent,694318,,austin-st-laurent
austin strickland,814088,,austin-strickland
austin voth,608723,15047,austin-voth
austin warren,681810,24937,austin-warren
austin wells,669224,27562,austin-wells
austin wynns,642851,15271,austin-wynns
avery owusu-asiedu,801938,sa3022604,avery-owusu-asiedu
avery short,683008,,avery-short
avinson pinto,821130,,avinson-pinto
axel perez,821612,,axel-perez
axel sanchez,692046,,axel-sanchez
axiel plaz,800208,sa3018480,axiel-plaz
ayden johnson,829042,,ayden-johnson
ayendy bravo,821131,,ayendy-bravo
ayendy pena,822597,,ayendy-pena
azaeel pacheco,821668,,azaeel-pacheco
baek-ho kang,808974,sa3012665,baek-ho-kang
bailey dees,676442,,bailey-dees
bailey falter,663559,20070,bailey-falter
bailey horn,690544,,bailey-horn
bailey ober,641927,21224,bailey-ober
bairon ledesma,813982,,bairon-ledesma
baron stuart,685067,,baron-stuart
barrett morgan,834900,,barrett-morgan
beau ankeney,801954,,beau-ankeney
beau brieske,689225,26079,beau-brieske
beau burrows,663366,18873,beau-burrows
beck way,694360,,beck-way
belfi rivera,815905,,belfi-rivera
ben abeldt,702727,,ben-abeldt
ben anderson,670391,,ben-anderson
ben bowden,641386,20198,ben-bowden
ben brown,676962,23590,ben-brown
ben bybee,803286,,ben-bybee
ben casparius,676508,30085,ben-casparius
ben cowles,701496,,ben-cowles
ben gamel,592325,12160,ben-gamel
ben gobbel,806534,,ben-gobbel
ben grable,695066,,ben-grable
ben hansen,810091,,ben-hansen
ben hartl,803015,,ben-hartl
ben heller,621294,15100,ben-heller
ben hernandez,690989,,ben-hernandez
ben hess,696292,sa3033725,ben-hess
ben jacobs,800624,,ben-jacobs
ben johnson,434584,2731,ben-johnson
ben joyce,690829,31461,ben-joyce
ben kudrna,695667,sa3018253,ben-kudrna
ben lively,594902,14932,ben-lively
ben malgeri,701162,,ben-malgeri
ben mclaughlin,808768,,ben-mclaughlin
ben peoples,687239,,ben-peoples
ben peterson,803292,,ben-peterson
ben rice,700250,29576,ben-rice
ben rortvedt,666163,20287,ben-rortvedt
ben ross,805346,,ben-ross
ben sears,700786,,ben-sears
ben shields,122148,1011889,ben-shields
ben simon,815084,,ben-simon
ben vespi,694978,,ben-vespi
ben williamson,810938,33197,ben-williamson
bennett lee,700939,,bennett-lee
bennett sousa,656986,21345,bennett-sousa
bennett thompson,701750,,bennett-thompson
benny montgomery,695603,sa3017169,benny-montgomery
benny thompson,802967,,benny-thompson
bernard jose,811594,,bernard-jose
bernard moon,807239,,bernard-moon
bill knight,681098,,bill-knight
billy amick,701771,sa3025249,billy-amick
billy carlson,815814,MISSING,billy-carlson
billy cook,695257,29573,billy-cook
billy corcoran,682225,,billy-corcoran
billy hamilton,571740,10199,billy-hamilton
billy mckinney,641856,15654,billy-mckinney
billy sullivan,122973,1012684,billy-sullivan
bishop letson,811309,sa3023526,bishop-letson
bj murray jr.,681230,,bj-murray-jr
bjay cooke,805737,,bjay-cooke
bjorn johnson,807723,,bjorn-johnson
blade tidwell,694918,sa3020177,blade-tidwell
blaine bullard,828557,,blaine-bullard
blaine crim,688760,25714,blaine-crim
blaine wynk,822360,,blaine-wynk
blair calvo,663971,25416,blair-calvo
blair henley,668874,,blair-henley
blake adams,687060,,blake-adams
blake aita,820832,,blake-aita
blake burke,695501,sa3025381,blake-burke
blake burkhalter,,sa3020382,blake-burkhalter
blake dickerson,703537,,blake-dickerson
blake dunn,694362,29487,blake-dunn
blake gillespie,805730,,blake-gillespie
blake hammond,813768,,blake-hammond
blake holub,700183,,blake-holub
blake larson,820836,,blake-larson
blake mitchell,805810,sa3022756,blake-mitchell
blake morgan,834581,,blake-morgan
blake penso,822324,,blake-penso
blake perkins,663368,19921,blake-perkins
blake rambusch,800683,,blake-rambusch
blake sabol,666165,25805,blake-sabol
blake snell,605483,13543,blake-snell
blake taylor,642130,16418,blake-taylor
blake townsend,678620,,blake-townsend
blake treinen,595014,12572,blake-treinen
blake walston,686796,26270,blake-walston
blake wehunt,687762,,blake-wehunt
blake wolters,806265,sa3023513,blake-wolters
blane abeyta,686588,,blane-abeyta
blas castano,680604,,blas-castano
blayberg diaz,691600,,blayberg-diaz
blayne enlow,669416,sa3005117,blayne-enlow
blaze alexander,677942,23789,blaze-alexander
blaze jordan,691458,sa3014537,blaze-jordan
blaze pontes,806281,,blaze-pontes
bligh madris,676632,20054,bligh-madris
bo bichette,666182,19612,bo-bichette
bo davidson,815589,sa3022706,bo-davidson
bo naylor,666310,21865,bo-naylor
bo walker,815563,,bo-walker
bob seymour,676044,30028,bob-seymour
bobby boser,804119,,bobby-boser
bobby dalbec,666915,19966,bobby-dalbec
bobby miller,676272,27483,bobby-miller
bobby witt jr.,677951,25764,bobby-witt-jr
bohan adderley,816339,,bohan-adderley
boris sarduy,821652,,boris-sarduy
boston bateman,815348,sa3067145,boston-bateman
boston smith,695722,,boston-smith
bowden francis,670102,20548,bowden-francis
bracewell taveras,808145,,bracewell-taveras
brad keller,641745,15734,brad-keller
brad lord,695418,31972,brad-lord
brad pacheco,814372,,brad-pacheco
brad rudis,809766,,brad-rudis
brad wieck,623364,16390,brad-wieck
braden davis,801078,sa3029886,braden-davis
braden montgomery,695731,sa3038253,braden-montgomery
braden nett,,sa3020336,braden-nett
braden osbolt,823776,,braden-osbolt
braden shewmake,669699,25817,braden-shewmake
bradgley rodriguez,699134,29107,bradgley-rodriguez
bradley blalock,687134,26419,bradley-blalock
bradley frye,804503,,bradley-frye
bradley hanner,690440,,bradley-hanner
brady afthim,808833,,brady-afthim
brady basso,669620,25582,brady-basso
brady cerkownyk,814499,,brady-cerkownyk
brady counsell,703519,,brady-counsell
brady day,800953,,brady-day
brady ebel,815816,sa3069149,brady-ebel
brady feigl,621399,,brady-feigl
brady hill,687984,,brady-hill
brady house,691781,29993,brady-house
brady parker,836059,,brady-parker
brady singer,663903,25377,brady-singer
brady smith,806224,,brady-smith
braeden sloan,800630,,braeden-sloan
braedon karpathios,701682,,braedon-karpathios
braian salazar,800317,,braian-salazar
braiden ward,685274,sa3017332,braiden-ward
brailer guerrero,806967,sa3021072,brailer-guerrero
brailyn antunez,829073,sa3067486,brailyn-antunez
brailyn paulino,809330,,brailyn-paulino
brainerh palacios,830023,,brainerh-palacios
bralyn brazoban,815923,,bralyn-brazoban
